,URL,Company_Name,Industry
138,https://en.wikipedia.org//wiki/KPMG_LLP,KPMG LLP,accounting
139,https://en.wikipedia.org//wiki/L-3_Communications,L-3 Communications,aerospace
140,https://en.wikipedia.org//wiki/Lazard_Capital_Markets,Lazard Capital Markets,financial services
141,https://en.wikipedia.org//wiki/Leucadia_National,Leucadia National,conglomerates
142,https://en.wikipedia.org//wiki/Loehmann%27s,Loehmann's,retail
143,https://en.wikipedia.org//wiki/Loews_Corporation,Loews Corporation,conglomerates
144,https://en.wikipedia.org//wiki/Logicworks,Logicworks,information technology
145,https://en.wikipedia.org//wiki/M_%26_F_Worldwide,M & F Worldwide,business services
146,https://en.wikipedia.org//wiki/MacAndrews_%26_Forbes,MacAndrews & Forbes,financial services
147,https://en.wikipedia.org//wiki/Macy%27s,Macy's,retail
148,https://en.wikipedia.org//wiki/Major_League_Baseball,Major League Baseball,sports leagues (professional)
149,https://en.wikipedia.org//wiki/Marc_Jacobs,Marc Jacobs,fashion
150,https://en.wikipedia.org//wiki/Marsh_%26_McLennan_Companies,Marsh & McLennan Companies,business services
151,https://en.wikipedia.org//wiki/Martha_Stewart_Living_Omnimedia,Martha Stewart Living Omnimedia,media
152,https://en.wikipedia.org//wiki/Marvel_Entertainment,Marvel Entertainment,media
153,https://en.wikipedia.org//wiki/Max_Mara,Max Mara,fashion
154,https://en.wikipedia.org//wiki/Maxim_(magazine),Maxim (magazine),media
155,https://en.wikipedia.org//wiki/McGraw-Hill_Education,McGraw-Hill Education,education
156,https://en.wikipedia.org//wiki/McGraw_Hill_Financial,McGraw Hill Financial,financial services
157,https://en.wikipedia.org//wiki/McKinsey_%26_Company,McKinsey & Company,consulting
158,https://en.wikipedia.org//wiki/MetLife,MetLife,insurance
159,https://en.wikipedia.org//wiki/MF_Global,MF Global,financial services
160,https://en.wikipedia.org//wiki/Michael_Kors,Michael Kors,fashion
161,"https://en.wikipedia.org//wiki/Milbank,_Tweed,_Hadley_%26_McCloy","Milbank, Tweed, Hadley & McCloy",law firms
162,https://en.wikipedia.org//wiki/Modell%27s,Modell's,retail
163,https://en.wikipedia.org//wiki/Monster_Worldwide,Monster Worldwide,Internet
164,https://en.wikipedia.org//wiki/Moody%27s,Moody's,business services
165,https://en.wikipedia.org//wiki/Moody%27s_Analytics,Moody's Analytics,business services
166,https://en.wikipedia.org//wiki/Morgan_Stanley,Morgan Stanley,financial services
167,https://en.wikipedia.org//wiki/MSCI,MSCI,financial services
168,https://en.wikipedia.org//wiki/MTV_Networks,MTV Networks,media
169,https://en.wikipedia.org//wiki/Mutual_of_America,Mutual of America,insurance
170,https://en.wikipedia.org//wiki/NASDAQ,NASDAQ,financial exchanges
171,https://en.wikipedia.org//wiki/NASDAQ_OMX_Group,NASDAQ OMX Group,financial exchanges
172,https://en.wikipedia.org//wiki/National_Basketball_Association,National Basketball Association,sports leagues (professional)
173,https://en.wikipedia.org//wiki/National_Football_League,National Football League,sports leagues (professional)
174,https://en.wikipedia.org//wiki/National_Hockey_League,National Hockey League,sports leagues (professional)
175,https://en.wikipedia.org//wiki/NBC,NBC,media
176,https://en.wikipedia.org//wiki/NBC_Universal,NBC Universal,media
177,https://en.wikipedia.org//wiki/Nest_Seekers_International,Nest Seekers International,real estate
178,https://en.wikipedia.org//wiki/New_York_%26_Company,New York & Company,retail
179,https://en.wikipedia.org//wiki/New_York_Board_of_Trade,New York Board of Trade,financial exchanges
180,https://en.wikipedia.org//wiki/New_York_Life,New York Life,insurance
181,https://en.wikipedia.org//wiki/New_York_Mercantile_Exchange,New York Mercantile Exchange,financial exchanges
182,https://en.wikipedia.org//wiki/New_York_Private_Bank_%26_Trust,New York Private Bank & Trust,financial services
183,https://en.wikipedia.org//wiki/New_York_Stock_Exchange,New York Stock Exchange,financial exchanges
184,https://en.wikipedia.org//wiki/The_New_York_Times_Company,The New York Times Company,media
185,https://en.wikipedia.org//wiki/New_Young_Broadcasting,New Young Broadcasting,media
186,https://en.wikipedia.org//wiki/Newmark_Grubb_Knight_Frank,Newmark Grubb Knight Frank,real estate
187,https://en.wikipedia.org//wiki/News_Corporation,News Corporation,media
188,https://en.wikipedia.org//wiki/Nickelodeon,Nickelodeon,media
189,https://en.wikipedia.org//wiki/Nielsen_Company,Nielsen Company,business services
